rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
185	4	s20260528_110804284476_254	4	4	2492	1992	2063	2118	1331	1524	1885	2040	-4.411.932.447	-2.013.296.003
186	4	s20260528_110804284476_254	4	4	3044	2278	2410	2463	1439	1630	2098	2358	-4.414.346.939	-2.013.659.722
187	4	s20260528_110804284476_254	4	4	2966	2323	2485	2561	1509	1668	2112	2482	-4.413.184.164	-2.014.023.573
188	4	s20260528_110804284476_254	4	4	2787	2241	2373	2415	1408	1592	2028	2293	-4.414.471.450	-2.013.756.619
189	4	s20260528_110804284476_254	4	4	2744	2310	2388	2406	1476	1678	2114	2297	-4.414.376.975	-2.014.257.859
190	4	s20260528_110804284476_254	4	4	2850	2391	2476	2426	1632	1886	2516	2657	-4.412.527.551	-2.012.558.355
191	4	s20260528_110804284476_254	4	4	2124	1691	1746	1753	1239	1340	1511	1534	-4.411.846.282	-2.013.502.059
192	4	s20260528_110804284476_254	4	4	2590	1945	2078	2111	1321	1490	1744	1872	-4.414.145.532	-2.013.540.733
193	4	s20260528_110804284476_254	4	4	2959	2312	2442	2486	1446	1672	2114	2394	-4.414.378.332	-2.013.710.933
194	4	s20260528_110804284476_254	4	4	2893	2393	2480	2511	1528	1722	2174	2391	-4.414.460.774	-2.014.451.003
195	4	s20260528_110804284476_254	4	4	3401	3189	3331	3203	1888	2242	3260	3326	-4.412.485.344	-2.012.712.428
196	4	s20260528_110804284476_254	4	4	2275	1787	1855	1860	1308	1447	1678	1780	-4.412.201.765	-2.012.670.383
197	4	s20260528_110804284476_254	4	4	2542	1926	2027	2057	1336	1462	1755	1901	-4.414.405.986	-2.013.433.402
198	4	s20260528_110804284476_254	4	4	2215	1925	1986	1948	1433	1638	1913	1993	-4.412.386.925	-2.012.636.674
199	4	s20260528_110804284476_254	4	4	2827	2271	2380	2421	1491	1706	2102	2343	-4.413.819.618	-2.013.599.430
200	5	s20260528_111001644386_707	5	5	1393	1921	2142	2318	1149	1323	1708	1905	-4.418.946.146	-2.014.417.881
201	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-4.418.982.457	-2.014.366.547
202	5	s20260528_111001644386_707	5	5	1273	1914	1986	2057	1144	1300	1696	1907	-4.418.952.764	-2.014.403.556
203	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-4.418.977.160	-2.014.363.499
204	5	s20260528_111001644386_707	5	5	1273	1914	1986	2057	1144	1300	1696	1907	-4.418.956.328	-2.014.404.819
205	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-4.418.985.207	-2.014.367.191
206	5	s20260528_111001644386_707	5	5	1322	1902	2026	2109	1146	1291	1691	1893	-4.418.953.767	-2.014.407.202
